ativo;dia_inicial;cost;gamma;tam_treino;evaluation;evaluationAlfa;kernel;kernelAlfa;type;typeAlfa;valor_real_anterior;valor_real;valor_predito;diffMod;perc_acerto
PETR4.SA.arff;6;262144;0,00390625;35;4;RAE;1;Polynomial;3;EPSILON_SVR;8,18;8,05;7,82;0,23;97,16
PETR4.SA.arff;6;1;4;35;4;RAE;0;Linear;3;EPSILON_SVR;8,18;8,05;8,03;0,02;99,72
PETR4.SA.arff;6;16384;0,0000305176;35;1;RMSE;2;RBF;3;EPSILON_SVR;8,18;8,05;8,03;0,02;99,72
PETR4.SA.arff;6;512;0,001953125;35;1;RMSE;3;Sigmoid;3;EPSILON_SVR;8,18;8,05;8,03;0,02;99,72
PETR4.SA.arff;6;1048576;0,001953125;35;1;RMSE;1;Polynomial;3;EPSILON_SVR;8,18;8,05;7,74;0,31;96,11
PETR4.SA.arff;6;1;4;35;1;RMSE;0;Linear;3;EPSILON_SVR;8,18;8,05;8,03;0,02;99,72
PETR4.SA.arff;6;16384;0,0000305176;35;5;COMBINED;2;RBF;3;EPSILON_SVR;8,18;8,05;8,03;0,02;99,72
PETR4.SA.arff;6;32;0,03125;35;5;COMBINED;3;Sigmoid;3;EPSILON_SVR;8,18;8,05;10,13;2,08;125,86
PETR4.SA.arff;6;262144;0,00390625;35;5;COMBINED;1;Polynomial;3;EPSILON_SVR;8,18;8,05;7,82;0,23;97,16
PETR4.SA.arff;6;1;4;35;5;COMBINED;0;Linear;3;EPSILON_SVR;8,18;8,05;8,03;0,02;99,72
PETR4.SA.arff;6;256;0,00390625;45;4;RAE;2;RBF;3;EPSILON_SVR;8,18;8,05;8,07;0,02;100,27
PETR4.SA.arff;6;4096;0,0078125;45;4;RAE;3;Sigmoid;3;EPSILON_SVR;8,18;8,05;5,67;2,38;70,42
PETR4.SA.arff;6;1048576;1024;45;4;RAE;1;Polynomial;3;EPSILON_SVR;8,18;8,05;7,77;0,28;96,58
PETR4.SA.arff;6;16;4;45;4;RAE;0;Linear;3;EPSILON_SVR;8,18;8,05;8,17;0,12;101,53
PETR4.SA.arff;6;2048;0,001953125;45;1;RMSE;2;RBF;3;EPSILON_SVR;8,18;8,05;8,09;0,04;100,53
PETR4.SA.arff;6;4096;0,0078125;45;1;RMSE;3;Sigmoid;3;EPSILON_SVR;8,18;8,05;5,67;2,38;70,42
PETR4.SA.arff;6;1048576;1024;45;1;RMSE;1;Polynomial;3;EPSILON_SVR;8,18;8,05;7,77;0,28;96,58
PETR4.SA.arff;6;16;4;45;1;RMSE;0;Linear;3;EPSILON_SVR;8,18;8,05;8,17;0,12;101,53
PETR4.SA.arff;6;256;0,00390625;45;5;COMBINED;2;RBF;3;EPSILON_SVR;8,18;8,05;8,07;0,02;100,27
PETR4.SA.arff;6;4096;0,0078125;45;5;COMBINED;3;Sigmoid;3;EPSILON_SVR;8,18;8,05;5,67;2,38;70,42
PETR4.SA.arff;6;1048576;1024;45;5;COMBINED;1;Polynomial;3;EPSILON_SVR;8,18;8,05;7,77;0,28;96,58
PETR4.SA.arff;6;16;4;45;5;COMBINED;0;Linear;3;EPSILON_SVR;8,18;8,05;8,17;0,12;101,53
